Time - Plot 0	Amplitude - Plot 0
17579	1895
17580	1890
17581	1882
17582	1871
17583	1855
17584	1834
17585	1811
17586	1784
17587	1754
17588	1722
17589	1686
17590	1649
17591	1609
17592	1569
17593	1528
17594	1486
17595	1443
17596	1401
17597	1359
17598	1318
17599	1279
17600	1242
17601	1206
17602	1173
17603	1143
17604	1116
17605	1093
17606	1072
17607	1057
17608	1046
17609	1036
17610	1033
17611	1036
17612	1043
17613	1052
17614	1066
17615	1084
17616	1106
17617	1131
17618	1160
17619	1191
17620	1226
17621	1262
17622	1301
17623	1341
17624	1382
17625	1424
17626	1466
17627	1508
17628	1550
17629	1591
17630	1631
17631	1669
17632	1706
17633	1738
17634	1770
17635	1799
17636	1824
17637	1845
17638	1864
17639	1877
17640	1887
17641	1893
17642	1897
17643	1893
17644	1887
17645	1877
17646	1863
17647	1845
17648	1823
17649	1798
17650	1769
17651	1737
17652	1704
17653	1668
17654	1629
17655	1589
17656	1548
17657	1506
17658	1464
17659	1422
17660	1380
17661	1338
17662	1298
17663	1260
17664	1224
17665	1189
17666	1158
17667	1129
17668	1104
17669	1082
17670	1065
17671	1051
17672	1042
17673	1036
17674	1033
17675	1036
17676	1042
17677	1052
17678	1066
